Qty,Description,DigiKey PN,Manufacturer Name,Manufacturer PN
1,7x2 POGO Pin Connector,ED10887-ND,Mill-Max Manufacturing Corp.,838-22-014-10-001101
1,3x1 POGO Pin Connector,ED10875-ND,Mill-Max Manufacturing Corp.,836-22-003-10-001101
1,2x1 POGO Pin Connector ,ED10874-ND,Mill-Max Manufacturing Corp.,836-22-002-10-001101
1,Toggle Clamp,N/A,The Toggle Clamp Store,HH-201B
4,Toggle Clamp Screws,H721-ND,B&F Fastener Supply,PMSSS 102 0075 PH
4,Toggle Clamp Washers,36-349-ND,Keystone Electronics,349
4,Toggle Clamp Nuts,36-4705-ND,Keystone Electronics,4705
4,DUT Standoffs,36-4940-ND,Keystone Electronics,4940
4,DUT Standoff Screws,RPC4507-ND,Essentra Components,NSP-4-4-01
2,Right angle BNC Jack,A97555-ND,TE Connectivity AMP Connectors,1-1634612-0
4,Board Standoffs,1772-1401-ND,RAF Electronic Hardware,2104-632-AL
4,Board Standoff Screws,36-9904-ND,Keystone Electronics,9904
1,JST PUD 7x2 Right Angle Male Connector,455-2488-ND,JST Sales America Inc.,S14B-PUDSS-1(LF)(SN)
