Item,Qty,Type,Package,Part Designators,Value,Description,Manufacturer Name,Manufacturer Part #,Digikey Part #,Layer,Alternate MFN,Alternate MFP,Alternate Digikey Part#
1,4,SMD,0805,"C5, C11, C13, C15",0.1uF,CAP CER 0.1UF 50V Y5V 0805,Samsung Electro-Mechanics,CL21F104ZBCNNNC,1276-1007-1-ND,Top,,,
2,15,SMD,0805,"C2, C3, C4, C6, C8, C21, C23, C27, C28, C29, C30, C31, C35, C36, C37",1uF,CAP CER 1UF 16V X7R 0805,Samsung Electro-Mechanics,CL21B105KOFNNNE,1276-1026-1-ND,Top,,,
3,4,SMD,0805,"C10, C12, C14, C20",2.2uF,CAP CER 2.2UF 10V X7R 0805,Samsung Electro-Mechanics,CL21B225KPFNNNE,1276-1188-1-ND,Top,,,
4,4,SMD,0805,"C7, C9, C32, C33",4.7uF,CAP CER 4.7UF 6.3V X5R 0805,Samsung Electro-Mechanics,CL21A475KQFNNNE,1276-1198-1-ND,Top,,,
5,4,SMD,0805,"C1, C16, C17, C19",10uF,CAP CER 10UF 10V X5R 0805,Samsung Electro-Mechanics,CL21A106KPFNNNE,1276-1052-1-ND,Top,,,
6,2,TH,Header,"J1, J3",,CONN HEADER PH SIDE 5POS 2MM,JST Sales America Inc.,S5B-PH-K-S(LF)(SN),455-1722-ND,"J1=Top, J3=Bottom",,,
7,1,TH,Header,J10,,CONN HEADER PH TOP 4POS 2MM,JST Sales America Inc.,B4B-PH-K-S(LF)(SN),455-1706-ND,Top,,,
8,1,TH,Connector,J12,,CONN FFC TOP 18POS 1.25MM R/A,Molex LLC,39532184,WM12723-ND,Top,,,
9,2,TH,Header,"J2, J4",,CONN HEADER PH TOP 5POS 2MM,JST Sales America Inc.,B5B-PH-K-S(LF)(SN),455-1707-ND,Top,,,
10,1,TH,Header,J5,,CONN HEADER PH SIDE 8POS 2MM,JST Sales America Inc.,S8B-PH-K-S(LF)(SN),455-1725-ND,Bottom,,,
11,1,TH,Header,J6,,CONN HEADER PH TOP 8POS 2MM,JST Sales America Inc.,B8B-PH-K-S(LF)(SN),455-1710-ND,Top,,,
12,1,TH,Header,J9,,CONN HEADER PH TOP 3POS 2MM,JST Sales America Inc.,B3B-PH-K-S(LF)(SN),455-1705-ND,Top,,,
13,3,TH,Terminal,"M1, M2, M3",,TERM SCREW 4-40 4 PIN PCB RA,Keystone Electronics,7773,36-7773-ND,Bottom,,,
14,2,SMD,SOT363,"Q1, Q4",,MOSFET 2N-CH 60V 0.3A,Toshiba Semiconductor and Storage,"SSM6N7002KFU,LF",SSM6N7002KFULFCT-ND,Top,,,
15,1,SMD,SOT363,Q2,,MOSFET N/P-CH 20V SC70-6,ON Semiconductor,FDG6332C-F085,FDG6332C-F085FSCT-ND,Top,,,
16,1,SMD,SO08,Q3,,MOSFET 2P-CH 30V 3.9A 8SO,Diodes Incorporated,DMP3085LSD-13,DMP3085LSD-13DICT-ND,Top,Diodes Incorporated,DMP6110SSD-13,DMP6110SSD-13DICT-ND
17,1,SMD,2010,R11,220R,RES 220 OHM 5% 3/4W 2010,Stackpole Electronics Inc.,RMCF2010JT220R,RMCF2010JT220RCT-ND,Top,,,
18,1,SMD,0805,R33,220R,RES SMD 220 OHM 5% 1/8W 0805,Bourns Inc.,CR0805-JW-221ELF,CR0805-JW-221ELFCT-ND,Top,,,
19,5,SMD,0805,"R5, R7, R17, R19, R22",1k,RES 1K OHM 1% 1/8W 0805,Stackpole Electronics Inc.,RMCF0805FT1K00,RMCF0805FT1K00CT-ND,Top,,,
20,4,SMD,0805,"R4, R6, R8, R23",2k,RES 2K OHM 1% 1/8W 0805,Stackpole Electronics Inc.,RMCF0805FT2K00,RMCF0805FT2K00CT-ND,Top,,,
21,18,SMD,0805,"R1, R2, R3, R9, R10, R12, R16, R18, R20, R21, R24, R25, R26, R27, R29, R30, R31, R32",10k,RES SMD 10K OHM 1% 1/8W 0805,Yageo,RC0805FR-0710KL,311-10.0KCRCT-ND,Top,,,
22,2,SMD,0805,"R28, R34",100k,RES 100K OHM 5% 1/8W 0805,Stackpole Electronics Inc.,RMCF0805JT100K,RMCF0805JT100KCT-ND,Top,,,
23,1,SMD,SOT223,U1,,IC REG LINEAR 5V 1.2A SOT223,STMicroelectronics,LDL1117S50R,497-17240-1-ND,Top,,,
24,1,SMD,SOT23-5,U2,,IC REG LINEAR 3.3V 150MA SOT23-5,Microchip Technology,MIC5317-3.3YM5-TR,MIC5317-3.3YM5-CT-ND,Top,,,
25,1,SMD,QFN32,U3,,IC STEREO CODEC 24BIT 32QFN,AKM Semiconductor Inc.,AK4951EN,974-1064-1-ND,Top,,,
26,1,SMD,SOT23-5,U4,,IC REG LINEAR 3.3V 250MA SOT23-5,STMicroelectronics,LDLN025M33R,497-17777-1-ND,Top,,,
27,1,SMD,SOT23-5,U5,,IC REG LINEAR 1.8V 150MA SOT23-5,Microchip Technology,MIC5317-1.8YM5-TR,MIC5317-1.8YM5-CT-ND,Top,,,
28,1,SMD,Module,U6,,RF TXRX MOD BLUETOOTH TRACE ANT,Microchip Technology,BM64SPKS1MC2-0001AA,BM64SPKS1MC2-0001AA-ND,Top,,,
29,1,SMD,TQFP44,U7,,IC MCU 8BIT 56KB FLASH 44TQFP,Microchip Technology,PIC16F18877-I/PT,PIC16F18877-I/PT-ND,Top,,,
